text,labels
Sixty-eight lambs were involved in 1976 and 74 in 1977 from a total of 14 sires,O O O O O O O O O O O O O O O B-Agr
Organic farming originally deals with the problematic nature/technique within a holistic view,O B-Agr O O O O O O O O O O
This also opens up on a more humanistic philosophy of farming,O O O O O O O O O O B-Agr
In the experimental part of the study ClO2 and H2O2/UV display a high efficacy against biofilms,O O O O O O O O O O O O O O O B-Agr
The mammary gland remodeling induced by the lower plasmatic PRL concentration may only be in part explained by a higher tight junction opening,O O O O O O O O O O O B-Agr O O O O O O O O O O O
We show that incidental emotions alter significantly people giving,O O O O O O O B-Agr O
The social and cultural impact of poplars also interfere with applied conservation,O O O O O O B-Agr O O O O B-Agr
All of these are available through the Oak Contig Browser http://genotoul-contigbrowser,O O O O O O O B-Agr O O O
Epistasis can diminish QTL detectability,B-Agr O O B-Agr O
In contrast they produced similar estimation of marginal distributions,O O O O O O O O B-Agr
Then it describes its architecture and the technical choice that had been made,O O O O B-Agr O O O O O O O O
DNA double strand breaks (DSBs) occur constantly in eukaryotes,O O O O O O O O B-Agr
This cooperative institute will take over and expand the work of the Agreenium consortium established in 2009,O O O O O O O O O B-Agr O O O O O O O
These observed thresholds and variations should be confirmed by other studies of this type under different environmental conditions,O O O O B-Agr O O O O O O O O O O O O O
It also impacts loyalty and commitment intentions toward the store,O O B-Agr O O O O O O O
Background: Many behavioral responses to odors are synergistic particularly in insects,O O O O O O O O O O B-Agr
Of the 8 million hectares grown worldwide conventional and organic practices cover 90% and 9% of acreage respectively,O O O O O O O O O O O O O O O O B-Agr O
Further work evaluating agronomic impacts is warranted,O B-Agr O O B-Agr O O
This work would open up a great scope for accurate SOC mapping when future hyperspectral missions are realized,O B-Agr O O O O O O O O O B-Agr O O O O O O
We show that their programming exercises are more or less dependent on national political contexts,O O O O O B-Agr O O O O O O O O O
We applied a statistical post-processing to these ensemble forecasts based on non-homogeneous regression with a censored shifted Gamma distribution,O O O O O O O O O O O O O O O O O O B-Agr
These impacts have served to politicize the issue in recent years,O B-Agr O O O O O O O O O
This work presents the context of the Gironde estuary its specific diversity,O B-Agr O O O O O O O O O O
However the nature of such impacts remains poorly understood,O O O O O B-Agr O O O
However we highlight that negative relationships may be more frequent,O O O O O O B-Agr O O O
Consequently they cause alterations and dysfunctions particularly in their littoral zones,O O O O O B-Agr O O O O O
It is not a question of excluding actions by paying but rather of specifying their limits,O O O O O O O O O B-Agr O O O O O O
Scots pine in the Mediterranean region is one them,O B-Agr O O O O O O O
This work was based on a bibliographic study and some interviews among local stakeholders,O B-Agr O O O O O O O O O O O O
Researchers have been paying attention to a new kind of impact category such as the annoyance,O O O B-Agr O O O O O O O O O O O O
The spatial distribution of heterotrophs and phototrophs had less impact,O O B-Agr O B-Agr O O O O O
Practitioners often do not know that these tools can reveal difficult to interpret because the reference distribution to which the p-value should be compared is in general unkwown - and can be very different from the uniform distribution,O O O O O O O O O O O O O O O O B-Agr O O O O O O O O O O O O O O O O O O O O B-Agr
We here present a new GOF p-value that does not have this drawback since its reference distribution is asymptotically uniform between 0 and 1,O O O O O O O O O O O O O O O O B-Agr O O O O O O O
The present work contributes to both work packages,O O B-Agr O O O B-Agr O
The objective of work package 4,O O O B-Agr O O
The major steps of work package 4,O O O O B-Agr O O
In nature conservation the notion was to affect new kinds of publics motivated not only by a love of nature or a sense of responsibility but also by hopefulness and a sense of opportunism,O O B-Agr O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Nevertheless there are some studies on the change caused by the emergence of an IB,O O O O O O O O O O O B-Agr O O O
We also explore some consequences in terms of the future way of life around the topics of agricultural work and cities,O O O O O O O O O O O O O O O O O O B-Agr O B-Agr
Each 'A' refers to a different 'knowledge-politics' coupling practice in governing and gives rise to a distinct line of questioning,O O O O O O O O O O O O O B-Agr O O O O O O
This negatively affects biodiversity especially saproxylic beetles,O O O O O O B-Agr
The aim of the present study is to provide an outline of the main steps of the expert appraisal work provided by Irstea,O O O O O O O O O O O O O O O O O O O B-Agr O O O
They also may reshape those who do not fit with their goals,O O B-Agr O O O O O O O O O
This may reflect their strong sensitivity to local microclimatic conditions,O B-Agr O O O O O O O O
This is the case for instance in cascading reservoirs along a stream course,O O O O O O O O B-Agr O O O O
However there are evidences that the cumulative impacts are not negligible,O O O O O O O B-Agr O O O
Spatial database is the cornerstone of any GIS,O O O O O O O B-Agr
For example Elodea nuttallii was always collected on lower flow stations but also on the warmest years,O O O O O O O O O O B-Agr O O O O O O
A quantitative biocoenotical study is done in the second part of this work,O O O O O O O O O O O O B-Agr
Further work will examine this question more closely,O B-Agr O O O O O O
A major implication is that underdevelopment may be partly due to destructive envy,O O O O O O B-Agr O O O O O O
Extreme overloading experienced internally may not be externally visible,O O O O B-Agr O O O O
It may be concluded that heterozygosity for a CNV in a non-coding region may contribute to phenotypic plasticity,O B-Agr O O O O O O O O O O O B-Agr O O O O
The present work addresses the related question of comparing the exceptionality of one motif in two different sequences,O O B-Agr O O O O O O O O O O O O O O O
They covered over 434 Mb of sequence in total and allowed us to detect 17433 putative SNP,O O O O O O O O O O O O O O O O B-Agr
The imaging protocol consisted in 6 gradient echo images obtained at different echo-times for mapping R-2*,O O O O O O O O O O O O O O B-Agr O
Variations of microbial counts and diversity between the farms studied have been observed,B-Agr O O O O O O O O O O O O
Three young douglas firs are studied,O O O B-Agr O O
Nevertheless it is very close to this parametric rate for some regression functions admitting an analytic continuation on the complex plane,O O O O O O O O O O O O O O O O O O O O B-Agr
The cellular distribution of the ganglioside-GM1 was markedly changed following B[alpha]P exposure,O O B-Agr O O O O O O O O O
Altogether antagonists of LXR that are currently developed in the context of dyslipidemia may find another indication with X-ALD,O B-Agr O O O O O O O O O O O B-Agr O O O O O
GGA16 19 and 26 carried many QTL for different types of traits that co-localize at the same position,O O O O O O B-Agr O O O O O O O O O O O
That of leaf inclination is globally uniform but it presents spatial variations,O O O O O O O O O O O B-Agr
Reads were assembled in a de novo durum assembly,O O O O O O O B-Agr O
A total of 53 sires were related by a Mal?cot relationship coefficient ? 0,O O O O B-Agr O O O O O O O O O
Also spatial aspects may have to be considered,O O O B-Agr O O O O
Different hypotheses were examined to explain this bias and the residual dispersion around the linear regression (expected content versus observed),O O O O O O O O O O O B-Agr O O O O O O O O
I revisit important contributions of these two authors paying attention to the immediate relationship of the major traits and treated issues between their works,O O O O O O O O B-Agr O O O O O O O O O O O O O O B-Agr
GEORGIA ALSACE/ LORRAINE/ CENTRE/ PAYS DE LA LOIRE,O O O O B-Agr O O O
A decentralised control architecture has been developed for hydraulic crane control,O O O B-Agr O O O O O O O
"This ""concentration in octanol"" value is then transformed to aquatic concentration for each PAH",O O O O O O O O O O O O O B-Agr
Various types of works conducted on the station are illustrated by examples,O O O B-Agr O O O O O O O O
The exploitation rate was 0,O B-Agr O O O
They also included fewer brood parasitic solitary or ground-nesting bees,O O O O O O O O O B-Agr
The work of Sheppard et al,O B-Agr O O O O
Third the main difference observed between the devices was linked to sonication,O O O O O O O O O O O B-Agr
Wild-ID was equally efficient with pictures from the chest and from the cloaca while APHIS was significantly more efficient with chest pictures than cloaca pictures,O O O O O O O O B-Agr O O O O O O O O O O O B-Agr O O O O
The chapter reviews the liana hydraulic paradigm illustrated by these angiosperm climbers,O O B-Agr O O O O O O O O O
A correspondence is established between these physiognomic types and the basic agro-ecological types,O B-Agr O O O O O O O O O O O
Some compounds had a microbial origin while some others may have come from the pasture,O O O O O O O O O B-Agr O O O O O
This article describes how to establish an experiments plane,O O O O O O O O B-Agr
Temporal distribution of floods and their frequency distribution,O B-Agr O B-Agr O O O B-Agr
We choose 2 stations with contrasted hydraulic conditions,O O O B-Agr O O O O
The extrapolation of the frequency distributions of the hydrological variables towards the rare frequencies is made in an empirical way and either on the direct adjustment of the distributions observed,O O O O O B-Agr O O O O O O O O O O O O O O O O O O O O O O B-Agr O
The aim of the work presented in this manuscript is the study and the amplementation of an automatic guidance,O O O O B-Agr O O O O O O O O O O O O O O
Thesis which have concerned the perception module and the control module,O O O O O B-Agr O O O O O
The two objectives may seem to be equivalent,O O O B-Agr O O O O
As many extremes they have little chance to correspond to the reality,O O B-Agr O O O O O O O O O
The increase in the specific richness observed upstream downstream on these stations is in link with the contributions of nutriments of the agglomeration of Angoul?me,O O O O O O O O O O O B-Agr O O O O O O O O O O O O O
The 5S rDNA was found in the interstitial region of a small metacentric pair,O O B-Agr O O O O O O O O O O O
The program has been developed in synergy with the operations working in the same way,O O O O O O O O O O B-Agr O O O O
This book deals with suspensions mecanics,O O O O B-Agr O
It also highlights mainly in conventional but also organic farming the risky situations,O O O O O O O O O B-Agr O O O
For all categories of farming the costs of mechanisation represent significant amounts,O O O O B-Agr O O O O O O O
Our optimization starts at 06h00 with full reservoirs,O O O O O O O B-Agr
For the chestnut oak the molecular markers of the geographical structuration of the diversity are considered as factorial references for determination,O O B-Agr B-Agr O O O O O O O O O O O O O O O O O
In the XXth century only match manufacturers are interested in this type of poplar,O O O O O O O O O O O O O B-Agr
The first food intake usually occurs several months after capture but remains irregular,O O B-Agr O O O O O O O O O O
This allowed us to obtain references of frequency distributions for all the traits,O O O O O O O O B-Agr O O O O
First we discuss about radiometric and geometric problems in this mapping,O O O O O O O O O O B-Agr
The behavioral study reveals that the degree of MP perception is increased in presence of the competitor,O O O O O O O O O B-Agr O O O O O O O
The MNs are the predominant viral form that is acquired by aphids; inhibiting their formation reduces drastically transmission rates,O O O O O O O O O O O B-Agr O O O O O B-Agr O
Oral disorders are expressed for example by an exacerbated gag reflex difficulties in chewing and swallowing and high food selectivity and may persist for years after oral by - pass ending,O O O O O O O O O B-Agr O O O O O O O O B-Agr O O B-Agr O O O O O O O O O
They further highlight the importance for biodiversity conservation of implementing the Environmental Reserve Tradable Certificate (CRA in Portuguese) mechanism quickly and effectively,O O O O O O O B-Agr O O O O O O O O O O O O O O
Important biological variability is observed among ZYMV isolates and to a much lesser extent among WMV isolates,O O O O O O O O O O O O O O O B-Agr O
Stable and specific QTL were identified according to envirotypes,O O O B-Agr O O O O O
The rate increases in May-June-July and after the fourth calving,O O O O B-Agr O O O O O
That place the night and the starry sky in the center of new territorial considerations,O O O B-Agr O O O O O O O O O O O
This multiple signaling may allowparents to fine-tune their response to stressors and especially to activate specific allostasis-related mechanisms in a timely manner,O O O B-Agr O O O O O O O O O O O O O O O O O O
Mosquitoes were reared in contrasted experimental conditions reflecting environmental variation in Burkina Faso,B-Agr O O O O O O O O O O O O
The synoptic variability of the Northern Current was linked to meanders of 2-5 day period,O O O O O O O O O O B-Agr O O O O
The presence of mucilaginous aggregates observed in both August and September may have played a role in scavenging of thorium,O O O O O O O O O O O B-Agr O O O O O O O O
This may however differ in long-lived diving homeotherms that frequently encounter hypoxic conditions and have very high metabolic rates,O B-Agr O O O O O O O O O O O O O O O O O
Our experimental protocol aimed to mimic the spatial progression of crossing the tidal limit within a 3-week experiment,O O O O O O O O O O B-Agr O O O O O O O
Finally the richness?time rela- tionship is positively skewed the initial rise happening much more quickly than the later decline,O O O O O O O O O O B-Agr O O O O O O O O
The workshop was held on May 7 and 8 2012 in St,O O O O O B-Agr O O O O O O
Tisaneurs are the pillars of its popular and traditional medicine,O O O O O O O O O B-Agr
This work is currently ongoing,O B-Agr O O O
Consequently Pb bioaccessibility is extremely sensitive to the Pb-bearing phase distribution,O O O O O O O O O O B-Agr
These large scavenging and predatory seabirds heavily rely on rookeries of pinnipeds and penguins for food,O O O O O O O O O O O O O O O B-Agr
On the contrary re-establishing the dominance of charophytes and thus the dominance of gastropods characteristic of the littoral malacocenoses of the Holocene is a conceivable objective,O O O O O O O O O O O O O B-Agr O O O O O O O O O O O O
For the 138 identified plots mean distance between the GPS and the validated position was 9,O O O O O O O O O B-Agr O O O O O O
This work proposes a new pseudo-metric based on fuzzy partitions (FPs),O B-Agr O O O O O O O O O
Hypothetically solitary wave propagation could be coupled with silent slip,O O O B-Agr O O O O O O
Later they will be accessible to external users for consulting and writing tasks as a function of the rights conferred to each type of user,O O O O O O O O O O O O O O O O O O B-Agr O O O O O O
Stir bars (Twister?) were deployed for several periods of one or two weeks during two one-month campaigns in 2010 and in 2011,O B-Agr O O O O O O O O O O O O O O O O O O O O
Isotopic abondances of I80 and 2H have similar distributions which are strongly disturbed during the tropical hurricanes,O O O O O O O O B-Agr O O O O O O O O
The present study assessed the impact of DSM on CO2 mitigation compared with CT,O O O O O O O B-Agr O O O O O O
The consequence of these two positive impacts of DSM ended up in a considerable CO2 mitigation,O O O O O O B-Agr O B-Agr O O O O O O O
Both temporal and inter-site variations of these biomarkers were studied,O O O O B-Agr O O O O O
Here the control of the laminar plane Poiseuille flow is considered,O O O O O O B-Agr O O O O
Fortunately the discovery of archives allowed to reconstitute the breach which occurred in Jargeau during the May and June 1856 flood,O O O O O O O O O O O O O O O O B-Agr O O O O
This breach is rather representative of the ones that could happen again today in case of exceptional floods,O O O O O O O O O O O O O O O O O B-Agr
At 4dpc embryos were collected and transferred into non-diabetic recipients,O O B-Agr O O O O O O O
Therefore they may differ from the classical 0,O O B-Agr O O O O O
In view of this situation it is necessary to develop more accurate zoning divisions or regions based on stable natural criteria: Agro-ecological zoning,O O O O O O O O O O O O O B-Agr O O O O O O O O O
Here presented work is based on the original ?dry? bio-refinery of food by-products,O O B-Agr O O O O O O O O B-Agr O
The consequences on the farmer?s work and practices were also evaluated,O O O O O B-Agr O O O O O
Only 6 farms had the main purpose to relieve the work mainly in Brittany (5),O O O O O O O O O O B-Agr O O O O
Despite this GST functions are largely unexplored especially in microorganisms,O O O O O O O O O B-Agr
Towards this end an experimental work was undertaken in three steps,O O O O O B-Agr O O O O O
For each trait we found a strong empirical relationship between the skewness and the kurtosis of the trait distributions that cannot be explained by chance,O O O O O O O O O O O O O O O O O O B-Agr O O O O O O
The same conclusion is applicable to microorganisms inside biofilms,O O O O O O B-Agr O B-Agr
These variations are different depending on the distance to the Park,O B-Agr O O O O O O O O O
Marine conservation is now an international issue,O B-Agr O O O O O
Public interventions mainly deal with farmland and local food provision with priority given to organic farming through different partnership arrangements,O O O O O O O O B-Agr O O O O O O B-Agr O O O O
Lastly perspectives of this preliminary work will be detailed,O O O O O B-Agr O O O
This article is mainly focused on the distribution of a low dose constituent,O O O O O O O B-Agr O O O O O
The difference between the two regions is also noticeable in the magnitude of changes with greater variations in the north than the south,O O O O O O O O O O O O O O O O B-Agr O O O O O O
The Atlantic MPH may have been dominant during the other stadials which would preferentially affect Southwestern Iberia,O O O B-Agr O O O O O O O O O O O O O
The AEVA NGO supported by DEAL of Guadeloupe carried out a study from 2012 to 2016 to reach some of these objectives,O O B-Agr O O O O O O O O O O O O O O O O O O O
Meanwhile the upstream biotic capacity may be ameliorated by an increase in number of shelters,O O O O O B-Agr O O O O O O O O O
Furthermore the crystallinity of nano-HgS increased as the particles aged,O O O O O O O O O B-Agr
Worms were exposed to suspensions containing 0,O O O O B-Agr O O
These findings should facilitate its practical conservation,O O O O O O B-Agr
We conclude by some future challenges in relation to the next cycle of the Floods Directive (2016-2022) with the inventory of past floods which had significant adverse impacts,O O O O O O O O O O O O O O B-Agr O O O O O O O B-Agr O O O O B-Agr
Conversely successful conservation actionsshould be associated with a lack of detrimental physiological perturbation,O O B-Agr O O O O O O O O O O
It is therefore necessary to determine therange of natural variations of the selected physiological metrics to establish useful baselines,O O O O O O O O O B-Agr O O O O O O O O O
The cycle of atmospheric Hg in the Arctic and in Antarctica presents both similarities and differences,O O O O O O O B-Agr O O O O O O O O
The CFZ is divided into two ~4 km apart segments with symmetrical slip distributions relative to a persistent boundary which has not been ruptured over the last ~12 ka,O O O O O O O O O O O O O B-Agr O O O O O O O O O O O O O O O
We examine the impacts of crows ravens Corvus spp,O O O B-Agr O O B-Agr O O
This work allowed us to reveal the direct ascent of more than800 cultivars and to uncover key genitors,O B-Agr O O O O O O O O O O O O O O O O
We postulate that promoting enjoyment of eating healthy foods is a more promising way,O O O O O O O O B-Agr O O O O O
In other words we propose that a food should be good to eat good to share and good to think for this food to be accepted,O O O O O O O B-Agr O O O O O O O O O O O O O O B-Agr O O O
Globally 118 FPC and 197 BPC were tentatively identified,O O B-Agr O O O O O O
FPC and BPC ranged from 207,B-Agr O O O O O
This work also suggests that under certain environmental circumstances complete resistance may breakdown,O B-Agr O O O O O O O O O B-Agr O
An NDVI threshold of 0,O B-Agr O O O
Although TGFbeta1 and TGFbeta3 have been shown to bind ALK1 under specific experimental conditions they may not represent the physiological ligands for this receptor,O O O O O O O O O O O O O O O B-Agr O O O O O O O O
Bioavailability of organic and inorganic forms of Cd was similar but subsequent Cd distribution within organs was different,O O O O O O O O O O O O O B-Agr O O O O
It shows high discomfort and repercussions of acute gastroenteritis especially regarding stoppage of work,O O O O O O O O O O O O O B-Agr
VAS work should be considered as a potentially useful AR outcome in intervention studies,O B-Agr O O O O O O O O O O O O
Little is known about the role of PTHrP in ACT,O O O O O O O O O B-Agr
Their concentrations did not differ significantly from one ACT to another,O O O O O O O O B-Agr O O
A total of 1756 ORFs were predicted of which 73% were functionally classified revealing a specialized metabolic repertoire,O O O O B-Agr O O O O O O O O O O O O O
Two poorly differentiated adenocarcinoma lines (HT29 and COLO205) a fetal mucosa line (FHC) and a differentiated line (post-confluent Caco-2) were incubated with various PEG concentrations for 2-5 days,O O O B-Agr O O O O O O O O O O O O O O O O O O O O O O O O
Obtaining amphioxus embryos is a key step for these studies,O O B-Agr O O O O O O O
